"filename", "language", "TOML", "Rust", "Markdown", "comment", "blank", "total"
"c:\Projects\personal\rust\fae_factory\Cargo.lock", "TOML", 3690, 0, 0, 2, 393, 4085
"c:\Projects\personal\rust\fae_factory\Cargo.toml", "TOML", 20, 0, 0, 3, 6, 29
"c:\Projects\personal\rust\fae_factory\README.md", "Markdown", 0, 0, 2, 0, 1, 3
"c:\Projects\personal\rust\fae_factory\rust-toolchain.toml", "TOML", 2, 0, 0, 0, 1, 3
"c:\Projects\personal\rust\fae_factory\src\common.rs", "Rust", 0, 60, 0, 0, 15, 75
"c:\Projects\personal\rust\fae_factory\src\crafting.rs", "Rust", 0, 91, 0, 6, 13, 110
"c:\Projects\personal\rust\fae_factory\src\input\camera.rs", "Rust", 0, 31, 0, 8, 10, 49
"c:\Projects\personal\rust\fae_factory\src\input\keyboard.rs", "Rust", 0, 54, 0, 1, 9, 64
"c:\Projects\personal\rust\fae_factory\src\input\mod.rs", "Rust", 0, 59, 0, 0, 12, 71
"c:\Projects\personal\rust\fae_factory\src\input\mouse.rs", "Rust", 0, 61, 0, 0, 10, 71
"c:\Projects\personal\rust\fae_factory\src\items\inventory.rs", "Rust", 0, 107, 0, 1, 14, 122
"c:\Projects\personal\rust\fae_factory\src\items\mod.rs", "Rust", 0, 104, 0, 3, 19, 126
"c:\Projects\personal\rust\fae_factory\src\main.rs", "Rust", 0, 50, 0, 0, 4, 54
"c:\Projects\personal\rust\fae_factory\src\player.rs", "Rust", 0, 80, 0, 0, 16, 96
"c:\Projects\personal\rust\fae_factory\src\recipes.rs", "Rust", 0, 69, 0, 0, 9, 78
"c:\Projects\personal\rust\fae_factory\src\research\mod.rs", "Rust", 0, 13, 0, 0, 5, 18
"c:\Projects\personal\rust\fae_factory\src\structures\assembler.rs", "Rust", 0, 77, 0, 0, 9, 86
"c:\Projects\personal\rust\fae_factory\src\structures\mod.rs", "Rust", 0, 116, 0, 1, 17, 134
"Total", "-", 3712, 972, 2, 25, 563, 5274
